benchmark,generation
BrendanSell,"SELECT uuid FROM cards WHERE artist = ""Brendan Sell"""
DavidMcDarby,"SELECT uuid FROM cards WHERE artist = ""David McDarby"""
KevinYee,"SELECT uuid FROM cards WHERE artist = ""Kevin Yee"""
SethConley,"SELECT uuid FROM cards WHERE artist = ""Seth Conley"""
SarahKeortge,"SELECT uuid FROM cards WHERE artist = ""Sarah Keortge"""
DanielKetchum,"SELECT uuid FROM cards WHERE artist = ""Daniel Ketchum"""
MarkLGottlieb,"SELECT uuid FROM cards WHERE artist = ""Mark L. Gottlieb"""
MattWarren,"SELECT uuid FROM cards WHERE artist = ""Matt Warren"""
LeviParker,"SELECT uuid FROM cards WHERE artist = ""Levi Parker"""
JeffStewart,"SELECT uuid FROM cards WHERE artist = ""Jeff Stewart"""
JustinCornell,"SELECT uuid FROM cards WHERE artist = ""Justin Cornell"""
VictoriaCaa,"SELECT uuid FROM cards WHERE artist = ""Victoria Caña"""
JeffCarpenter,"SELECT uuid FROM cards WHERE artist = ""Jeff Carpenter"""
HanspeterZiegler,"SELECT uuid FROM cards WHERE artist = ""Hanspeter Ziegler"""
NelsonBrown,"SELECT uuid FROM cards WHERE artist = ""Nelson Brown"""
KellyMcBride,"SELECT uuid FROM cards WHERE artist = ""Kelly McBride"""
EmilyMaltby,"SELECT uuid FROM cards WHERE artist = ""Emily Maltby"""
TaraRueping,"SELECT uuid FROM cards WHERE artist = ""Tara Rueping"""
EthanFleischer,"SELECT uuid FROM cards WHERE artist = ""Ethan Fleischer"""
SamStoddard,"SELECT uuid FROM cards WHERE artist = ""Sam Stoddard"""
SteveSunu,"SELECT uuid FROM cards WHERE artist = ""Steve Sunu"""
RyanPrintz,"SELECT uuid FROM cards WHERE artist = ""Ryan Printz"""
ChrisClay,"SELECT uuid FROM cards WHERE artist = ""Chris Clay"""
MollieHarms,"SELECT uuid FROM cards WHERE artist = ""Mollie Harms"""
ChrisTulach,"SELECT uuid FROM cards WHERE artist = ""Chris Tulach"""
AriNieh,"SELECT uuid FROM cards WHERE artist = ""Ari Nieh"""
DamianTedrow,"SELECT uuid FROM cards WHERE artist = ""Damian Tedrow"""
LucyMeaden,"SELECT uuid FROM cards WHERE artist = ""Lucy Meaden"""
PatrickKuhlman,"SELECT uuid FROM cards WHERE artist = ""Patrick Kuhlman"""
TylerWright,"SELECT uuid FROM cards WHERE artist = ""Tyler Wright"""
BrittanyAustin,"SELECT uuid FROM cards WHERE artist = ""Brittany Austin"""
KellyHamilton,"SELECT uuid FROM cards WHERE artist = ""Kelly Hamilton"""
ChadKanotz,"SELECT uuid FROM cards WHERE artist = ""Chad Kanotz"""
EliShiffrin,"SELECT uuid FROM cards WHERE artist = ""Eli Shiffrin"""
CodyCulp,"SELECT uuid FROM cards WHERE artist = ""Cody Culp"""
NickBartoletti,"SELECT uuid FROM cards WHERE artist = ""Nick Bartoletti"""
EvanShipard,"SELECT uuid FROM cards WHERE artist = ""Evan Shipard"""
AdiGranov,"SELECT uuid FROM cards WHERE artist = ""Adi Granov"""
BrianHagan,"SELECT uuid FROM cards WHERE artist = ""Brian Hagan"""
JulieDillon,"SELECT uuid FROM cards WHERE artist = ""Julie Dillon"""
JohnDonahue,"SELECT uuid FROM cards WHERE artist = ""John Donahue"""
ArielOlivetti,"SELECT uuid FROM cards WHERE artist = ""Ariel Olivetti"""
JeffNentrup,"SELECT uuid FROM cards WHERE artist = ""Jeff Nentrup"""
YokotaKatsumi,"SELECT uuid FROM cards WHERE artist = ""Yokota Katsumi"""
RebekahLynn,"SELECT uuid FROM cards WHERE artist = ""Rebekah Lynn"""
RickEmond,"SELECT uuid FROM cards WHERE artist = ""Rick Emond"""
YoshinoHimori,"SELECT uuid FROM cards WHERE artist = ""Yoshino Himori"""
MichaelDanza,"SELECT uuid FROM cards WHERE artist = ""Michael Danza"""
JeffReitz,"SELECT uuid FROM cards WHERE artist = ""Jeff Reitz"""
AltonLawson,"SELECT uuid FROM cards WHERE artist = ""Alton Lawson"""
Lubov,"SELECT uuid FROM cards WHERE artist = ""Lubov"""
WilliamSimpson,"SELECT uuid FROM cards WHERE artist = ""William Simpson"""
JustinNorman,"SELECT uuid FROM cards WHERE artist = ""Justin Norman"""
KevinDobler,"SELECT uuid FROM cards WHERE artist = ""Kevin Dobler"""
MarkHarrison,"SELECT uuid FROM cards WHERE artist = ""Mark Harrison"""
MaciejKuciara,"SELECT uuid FROM cards WHERE artist = ""Maciej Kuciara"""
ThomasDenmark,"SELECT uuid FROM cards WHERE artist = ""Thomas Denmark"""
BenWootten,"SELECT uuid FROM cards WHERE artist = ""Ben Wootten"""
LiamSharp,"SELECT uuid FROM cards WHERE artist = ""Liam Sharp"""
FredHooper,"SELECT uuid FROM cards WHERE artist = ""Fred Hooper"""
JeremyJarvisWayneReynolds,"SELECT uuid FROM cards WHERE artist = ""Jeremy Jarvis & Wayne Reynolds"""
RonSpearsWayneReynolds,"SELECT uuid FROM cards WHERE artist = ""Ron Spears & Wayne Reynolds"""
NNThomasCatherineBuck,"SELECT uuid FROM cards WHERE artist = ""NéNé Thomas & Catherine Buck"""
XiaoDiJin,"SELECT uuid FROM cards WHERE artist = ""XiaoDi Jin"""
TylerWalpole,"SELECT uuid FROM cards WHERE artist = ""Tyler Walpole"""
RafSarmento,"SELECT uuid FROM cards WHERE artist = ""Raf Sarmento"""
AlexBrock,"SELECT uuid FROM cards WHERE artist = ""Alex Brock"""
MilaPesic,"SELECT uuid FROM cards WHERE artist = ""Mila Pesic"""
IrisCompiet,"SELECT uuid FROM cards WHERE artist = ""Iris Compiet"""
Milivojeran,"SELECT uuid FROM cards WHERE artist = ""Milivoj Ćeran"""
JeremyWilson,"SELECT uuid FROM cards WHERE artist = ""Jeremy Wilson"""
ChrisOstrowski,"SELECT uuid FROM cards WHERE artist = ""Chris Ostrowski"""
WylieBeckert,"SELECT uuid FROM cards WHERE artist = ""Wylie Beckert"""
PaulScottCanavan,"SELECT uuid FROM cards WHERE artist = ""Paul Scott Canavan"""
NicholasGregory,"SELECT uuid FROM cards WHERE artist = ""Nicholas Gregory"""
BenMaier,"SELECT uuid FROM cards WHERE artist = ""Ben Maier"""
ShawnWood,"SELECT uuid FROM cards WHERE artist = ""Shawn Wood"""
IrinaNordsol,"SELECT uuid FROM cards WHERE artist = ""Irina Nordsol"""
KimonasTheodossiou,"SELECT uuid FROM cards WHERE artist = ""Kimonas Theodossiou"""
MicahEpstein,"SELECT uuid FROM cards WHERE artist = ""Micah Epstein"""
JanaSchirmer,"SELECT uuid FROM cards WHERE artist = ""Jana Schirmer"""
MirandaMeeks,"SELECT uuid FROM cards WHERE artist = ""Miranda Meeks"""
MaddieJulyk,"SELECT uuid FROM cards WHERE artist = ""Maddie Julyk"""
EmrahElmasli,"SELECT uuid FROM cards WHERE artist = ""Emrah Elmasli"""
OlenaRichards,"SELECT uuid FROM cards WHERE artist = ""Olena Richards"""
KariChristensen,"SELECT uuid FROM cards WHERE artist = ""Kari Christensen"""
JoseCabrera,"SELECT uuid FROM cards WHERE artist = ""Jose Cabrera"""
JohnHoweLorywn,"SELECT uuid FROM cards WHERE artist = ""John Howe (Lorywn)"""
ScottAltmann,"SELECT uuid FROM cards WHERE artist = ""Scott Altmann"""
KevinMcCann,"SELECT uuid FROM cards WHERE artist = ""Kevin McCann"""
YefimKligerman,"SELECT uuid FROM cards WHERE artist = ""Yefim Kligerman"""
DavidSeguin,"SELECT uuid FROM cards WHERE artist = ""David Seguin"""
JamesKei,"SELECT uuid FROM cards WHERE artist = ""James Kei"""
DavidHudnut,"SELECT uuid FROM cards WHERE artist = ""David Hudnut"""
ChrisJAnderson,"SELECT uuid FROM cards WHERE artist = ""Chris J. Anderson"""
JustinMurray,"SELECT uuid FROM cards WHERE artist = ""Justin Murray"""
AprilLee,"SELECT uuid FROM cards WHERE artist = ""April Lee"""
YigitKoroglu,"SELECT uuid FROM cards WHERE artist = ""Yigit Koroglu"""
MilesJohnston,"SELECT uuid FROM cards WHERE artist = ""Miles Johnston"""
GlennFabry,"SELECT uuid FROM cards WHERE artist = ""Glenn Fabry"""
JamesWong,"SELECT uuid FROM cards WHERE artist = ""James Wong"""
JeddChevrier,"SELECT uuid FROM cards WHERE artist = ""Jedd Chevrier"""
JohnThacker,"SELECT uuid FROM cards WHERE artist = ""John Thacker"""
WolkSheep,"SELECT uuid FROM cards WHERE artist = ""Wolk Sheep"""
ShinchuenChen,"SELECT uuid FROM cards WHERE artist = ""Shinchuen Chen"""
TingtingYeh,"SELECT uuid FROM cards WHERE artist = ""Tingting Yeh"""
XinYuLiu,"SELECT uuid FROM cards WHERE artist = ""Xin-Yu Liu"""
YutakaLi,"SELECT uuid FROM cards WHERE artist = ""Yutaka Li"""
KeeLo,"SELECT uuid FROM cards WHERE artist = ""Kee Lo"""
TanYanYao,"SELECT uuid FROM cards WHERE artist = ""Tan Yan Yao"""
PonLee,"SELECT uuid FROM cards WHERE artist = ""Pon Lee"""
QiuDeEn,"SELECT uuid FROM cards WHERE artist = ""Qiu De En"""
BabysonChenUzhenLin,"SELECT uuid FROM cards WHERE artist = ""Babyson Chen & Uzhen Lin"""
GagaZeng,"SELECT uuid FROM cards WHERE artist = ""Gaga Zeng"""
FredRahmqvist,"SELECT uuid FROM cards WHERE artist = ""Fred Rahmqvist"""
PiotrJaboski,"SELECT uuid FROM cards WHERE artist = ""Piotr Jabłoński"""
YoichiIto,"SELECT uuid FROM cards WHERE artist = ""Yoichi Ito"""
LizDanforthDouglasShuler,"SELECT uuid FROM cards WHERE artist = ""Liz Danforth & Douglas Shuler"""
JamesErnest,"SELECT uuid FROM cards WHERE artist = ""James Ernest"""
AmyWeberTomWnerstrand,"SELECT uuid FROM cards WHERE artist = ""Amy Weber & Tom Wänerstrand"""
NNThomasPhillipMosness,"SELECT uuid FROM cards WHERE artist = ""NéNé Thomas & Phillip Mosness"""
BD,"SELECT uuid FROM cards WHERE artist = ""BD"""
JacquesBredy,"SELECT uuid FROM cards WHERE artist = ""Jacques Bredy"""
StephanieLaw,"SELECT uuid FROM cards WHERE artist = ""Stephanie Law"""
MarkEvans,"SELECT uuid FROM cards WHERE artist = ""Mark Evans"""
MitsuakiSagiri,"SELECT uuid FROM cards WHERE artist = ""Mitsuaki Sagiri"""
FangYue,"SELECT uuid FROM cards WHERE artist = ""Fang Yue"""
LiTie,"SELECT uuid FROM cards WHERE artist = ""Li Tie"""
JackWei,"SELECT uuid FROM cards WHERE artist = ""Jack Wei"""
TomBabbey,"SELECT uuid FROM cards WHERE artist = ""Tom Babbey"""
TereseNielsenPhilipTan,"SELECT uuid FROM cards WHERE artist = ""Terese Nielsen & Philip Tan"""
PaulChadwick,"SELECT uuid FROM cards WHERE artist = ""Paul Chadwick"""
jD,"SELECT uuid FROM cards WHERE artist = ""jD"""
MattCavottaRichardWhitters,"SELECT uuid FROM cards WHERE artist = ""Matt Cavotta & Richard Whitters"""
IoanDumitrescu,"SELECT uuid FROM cards WHERE artist = ""Ioan Dumitrescu"""
Pindurski,"SELECT uuid FROM cards WHERE artist = ""Pindurski"""
CosKoniotis,"SELECT uuid FROM cards WHERE artist = ""Cos Koniotis"""
YangJunKwon,"SELECT uuid FROM cards WHERE artist = ""Yang Jun Kwon"""
YangHong,"SELECT uuid FROM cards WHERE artist = ""Yang Hong"""
LiYousong,"SELECT uuid FROM cards WHERE artist = ""Li Yousong"""
ChenWeidong,"SELECT uuid FROM cards WHERE artist = ""Chen Weidong"""
InoueJunichi,"SELECT uuid FROM cards WHERE artist = ""Inoue Junichi"""
ShangHuitong,"SELECT uuid FROM cards WHERE artist = ""Shang Huitong"""
LiWang,"SELECT uuid FROM cards WHERE artist = ""Li Wang"""
TangXiaogu,"SELECT uuid FROM cards WHERE artist = ""Tang Xiaogu"""
HuangQishi,"SELECT uuid FROM cards WHERE artist = ""Huang Qishi"""
KangYu,"SELECT uuid FROM cards WHERE artist = ""Kang Yu"""
YangGuangmai,"SELECT uuid FROM cards WHERE artist = ""Yang Guangmai"""
LiuShangying,"SELECT uuid FROM cards WHERE artist = ""Liu Shangying"""
Jiaming,"SELECT uuid FROM cards WHERE artist = ""Jiaming"""
QinJun,"SELECT uuid FROM cards WHERE artist = ""Qin Jun"""
HongYan,"SELECT uuid FROM cards WHERE artist = ""Hong Yan"""
LiXiaohua,"SELECT uuid FROM cards WHERE artist = ""Li Xiaohua"""
LHQ,"SELECT uuid FROM cards WHERE artist = ""LHQ"""
WangChuxiong,"SELECT uuid FROM cards WHERE artist = ""Wang Chuxiong"""
QuXin,"SELECT uuid FROM cards WHERE artist = ""Qu Xin"""
LiYouliang,"SELECT uuid FROM cards WHERE artist = ""Li Youliang"""
WangFeng,"SELECT uuid FROM cards WHERE artist = ""Wang Feng"""
XuTan,"SELECT uuid FROM cards WHERE artist = ""Xu Tan"""
JiangZhuqing,"SELECT uuid FROM cards WHERE artist = ""Jiang Zhuqing"""
QiBaocheng,"SELECT uuid FROM cards WHERE artist = ""Qi Baocheng"""
CrisDornaus,"SELECT uuid FROM cards WHERE artist = ""Cris Dornaus"""
WangYuqun,"SELECT uuid FROM cards WHERE artist = ""Wang Yuqun"""
StuartBeel,"SELECT uuid FROM cards WHERE artist = ""Stuart Beel"""
Jock,"SELECT uuid FROM cards WHERE artist = ""Jock"""
KathrynRathke,"SELECT uuid FROM cards WHERE artist = ""Kathryn Rathke"""
JenniferLaw,"SELECT uuid FROM cards WHERE artist = ""Jennifer Law"""
JuniorTomlin,"SELECT uuid FROM cards WHERE artist = ""Junior Tomlin"""
JohnMalloy,"SELECT uuid FROM cards WHERE artist = ""John Malloy"""
ClydeCaldwell,"SELECT uuid FROM cards WHERE artist = ""Clyde Caldwell"""
DanielRHorne,"SELECT uuid FROM cards WHERE artist = ""Daniel R. Horne"""
TerrySpringer,"SELECT uuid FROM cards WHERE artist = ""Terry Springer"""
DavidMonette,"SELECT uuid FROM cards WHERE artist = ""David Monette"""
SeanMcConnell,"SELECT uuid FROM cards WHERE artist = ""Sean McConnell"""
FrankKellyFreas,"SELECT uuid FROM cards WHERE artist = ""Frank Kelly Freas"""
QuintonHooverValMayerik,"SELECT uuid FROM cards WHERE artist = ""Quinton Hoover & Val Mayerik"""
LouHarrison,"SELECT uuid FROM cards WHERE artist = ""Lou Harrison"""
JeffRemmer,"SELECT uuid FROM cards WHERE artist = ""Jeff Remmer"""
YanLi,"SELECT uuid FROM cards WHERE artist = ""Yan Li"""
HenryVanDerLinde,"SELECT uuid FROM cards WHERE artist = ""Henry Van Der Linde"""
DavidHorne,"SELECT uuid FROM cards WHERE artist = ""David Horne"""
MattStawicki,"SELECT uuid FROM cards WHERE artist = ""Matt Stawicki"""
MichaelWeaver,"SELECT uuid FROM cards WHERE artist = ""Michael Weaver"""
MarkItstehDEENTedin,"SELECT uuid FROM cards WHERE artist = ""Mark “It’s teh-DEEN” Tedin"""
DonThompson,"SELECT uuid FROM cards WHERE artist = ""Don Thompson"""
SusanGarfield,"SELECT uuid FROM cards WHERE artist = ""Susan Garfield"""
RobotChicken,"SELECT uuid FROM cards WHERE artist = ""Robot Chicken"""
MoniqueThirifay,"SELECT uuid FROM cards WHERE artist = ""Monique Thirifay"""
MichaelWhelan,"SELECT uuid FROM cards WHERE artist = ""Michael Whelan"""
WesleyBurt,"SELECT uuid FROM cards WHERE artist = ""Wesley Burt & コーヘー"""
UDON,"SELECT uuid FROM cards WHERE artist = ""UDON"""
BillyChristian,"SELECT uuid FROM cards WHERE artist = ""Billy Christian"""
AiDesheng,"SELECT uuid FROM cards WHERE artist = ""Ai Desheng"""
JaeLee,"SELECT uuid FROM cards WHERE artist = ""Jae Lee"""
JenniferLMeyer,"SELECT uuid FROM cards WHERE artist = ""Jennifer L. Meyer"""
AndreaRadeck,"SELECT uuid FROM cards WHERE artist = ""Andrea Radeck"""
MarcoTeixeira,"SELECT uuid FROM cards WHERE artist = ""Marco Teixeira"""
QuanXuejun,"SELECT uuid FROM cards WHERE artist = ""Quan Xuejun"""
KuangSheng,"SELECT uuid FROM cards WHERE artist = ""Kuang Sheng"""
DingSongjian,"SELECT uuid FROM cards WHERE artist = ""Ding Songjian"""
Koji,"SELECT uuid FROM cards WHERE artist = ""Koji"""
CaiTingting,"SELECT uuid FROM cards WHERE artist = ""Cai Tingting"""
ZhaoTan,"SELECT uuid FROM cards WHERE artist = ""Zhao Tan"""
LiuJianjian,"SELECT uuid FROM cards WHERE artist = ""Liu Jianjian"""
LinYan,"SELECT uuid FROM cards WHERE artist = ""Lin Yan"""
MihoMidorikawa,"SELECT uuid FROM cards WHERE artist = ""Miho Midorikawa"""
Sansyu,"SELECT uuid FROM cards WHERE artist = ""Sansyu"""
Dsuzuki,"SELECT uuid FROM cards WHERE artist = ""D-suzuki"""
HozanShinomaru,"SELECT uuid FROM cards WHERE artist = ""Hozan Shinomaru"""
RyotaH,"SELECT uuid FROM cards WHERE artist = ""Ryota-H"""
HagiyaKaoru,"SELECT uuid FROM cards WHERE artist = ""Hagiya Kaoru"""
RaitaKazama,"SELECT uuid FROM cards WHERE artist = ""Raita Kazama"""
Nablange,"SELECT uuid FROM cards WHERE artist = ""Nablange"""
Tada,"SELECT uuid FROM cards WHERE artist = ""Tada"""
MasudaMikio,"SELECT uuid FROM cards WHERE artist = ""Masuda Mikio"""
ToshiakiTakayama,"SELECT uuid FROM cards WHERE artist = ""Toshiaki Takayama"""
MaekawaYuichi,"SELECT uuid FROM cards WHERE artist = ""Maekawa Yuichi"""
DaisukeIzuka,"SELECT uuid FROM cards WHERE artist = ""Daisuke Izuka"""
NaochikaMorishita,"SELECT uuid FROM cards WHERE artist = ""Naochika Morishita"""
Mid,"SELECT uuid FROM cards WHERE artist = ""Mid"""
YamamotoAkifumi,"SELECT uuid FROM cards WHERE artist = ""Yamamoto Akifumi"""
YoshitakaAmano,"SELECT uuid FROM cards WHERE artist = ""Yoshitaka Amano"""
YukieTajima,"SELECT uuid FROM cards WHERE artist = ""Yukie Tajima"""
FooMidori,"SELECT uuid FROM cards WHERE artist = ""Foo Midori"""
KaidaYuji,"SELECT uuid FROM cards WHERE artist = ""Kaida Yuji"""
Hitowa,"SELECT uuid FROM cards WHERE artist = ""Hitowa"""
HisashiMomose,"SELECT uuid FROM cards WHERE artist = ""Hisashi Momose"""
NorikatsuMiyoshi,"SELECT uuid FROM cards WHERE artist = ""Norikatsu Miyoshi"""
Lack,"SELECT uuid FROM cards WHERE artist = ""Lack"""
Fuzichoco,"SELECT uuid FROM cards WHERE artist = ""Fuzichoco"""
CloverK,"SELECT uuid FROM cards WHERE artist = ""Clover.K"""
RyotaMurayama,"SELECT uuid FROM cards WHERE artist = ""Ryota Murayama"""
JaredBlando,"SELECT uuid FROM cards WHERE artist = ""Jared Blando"""
RickOBrien,"SELECT uuid FROM cards WHERE artist = ""Rick O'Brien"""
JenPage,"SELECT uuid FROM cards WHERE artist = ""Jen Page"""
ChengoMcFlingers,"SELECT uuid FROM cards WHERE artist = ""Chengo McFlingers"""
ChrisDien,"SELECT uuid FROM cards WHERE artist = ""Chris Dien"""
EricaGassalascaJape,"SELECT uuid FROM cards WHERE artist = ""Erica Gassalasca-Jape"""
EricaWilliams,"SELECT uuid FROM cards WHERE artist = ""Erica Williams"""
DanMumford,"SELECT uuid FROM cards WHERE artist = ""Dan Mumford"""
MikeUziel,"SELECT uuid FROM cards WHERE artist = ""Mike Uziel"""
JungShan,"SELECT uuid FROM cards WHERE artist = ""JungShan"""
JakobEirich,"SELECT uuid FROM cards WHERE artist = ""Jakob Eirich"""
FionaHsieh,"SELECT uuid FROM cards WHERE artist = ""Fiona Hsieh"""
AllisonCarl,"SELECT uuid FROM cards WHERE artist = ""Allison Carl"""
KisungKoh,"SELECT uuid FROM cards WHERE artist = ""Kisung Koh"""
JustineJones,"SELECT uuid FROM cards WHERE artist = ""Justine Jones"""
KristinaCollantes,"SELECT uuid FROM cards WHERE artist = ""Kristina Collantes"""
DXTR,"SELECT uuid FROM cards WHERE artist = ""DXTR"""
LaurenYS,"SELECT uuid FROM cards WHERE artist = ""Lauren YS"""
JaimeAZuverza,"SELECT uuid FROM cards WHERE artist = ""Jaime A. Zuverza"""
EricPolak,"SELECT uuid FROM cards WHERE artist = ""Eric Polak"""
CarolineGariba,"SELECT uuid FROM cards WHERE artist = ""Caroline Gariba"""
JinhoBae,"SELECT uuid FROM cards WHERE artist = ""Jinho Bae"""
CampbellWhite,"SELECT uuid FROM cards WHERE artist = ""Campbell White"""
BrianValeza,"SELECT uuid FROM cards WHERE artist = ""Brian Valeza"""
EvynFong,"SELECT uuid FROM cards WHERE artist = ""Evyn Fong"""
MichelleParisi,"SELECT uuid FROM cards WHERE artist = ""Michelle Parisi"""
SueEllenBrown,"SELECT uuid FROM cards WHERE artist = ""Sue Ellen Brown"""
GregSpalenka,"SELECT uuid FROM cards WHERE artist = ""Greg Spalenka"""
DAlexanderGregoryJeremyJarvis,"SELECT uuid FROM cards WHERE artist = ""D. Alexander Gregory & Jeremy Jarvis"""
ChippyMatthewDWilson,"SELECT uuid FROM cards WHERE artist = ""Chippy & Matthew D. Wilson"""
ClaymoreJFlapdoodle,"SELECT uuid FROM cards WHERE artist = ""Claymore J. Flapdoodle"""
MattDixon,"SELECT uuid FROM cards WHERE artist = ""Matt Dixon"""
DavidSladek,"SELECT uuid FROM cards WHERE artist = ""David Sladek"""
MattGaser,"SELECT uuid FROM cards WHERE artist = ""Matt Gaser"""
DavidHelpMeMartin,"SELECT uuid FROM cards WHERE artist = ""David “Help Me” Martin"""
HeatherEricaGassalascaJapeHudson,"SELECT uuid FROM cards WHERE artist = ""Heather “Erica Gassalasca-Jape” Hudson"""
EvkayAlkerway,"SELECT uuid FROM cards WHERE artist = ""Evkay Alkerway"""
RonDontYouDareChangeMeSpears,"SELECT uuid FROM cards WHERE artist = ""Ron “Don't You Dare Change Me” Spears"""
DavidBeeblemaniaMartin,"SELECT uuid FROM cards WHERE artist = ""David “Beeblemania” Martin"""
JimStoptheDaVinciBeatdownPavelec,"SELECT uuid FROM cards WHERE artist = ""Jim “Stop the Da Vinci Beatdown” Pavelec"""
PeteFearMeVenters,"SELECT uuid FROM cards WHERE artist = ""Pete “Fear Me” Venters"""
ThomasManning,"SELECT uuid FROM cards WHERE artist = ""Thomas Manning"""
PeteYestheUrzasLegacyOneVenters,"SELECT uuid FROM cards WHERE artist = ""Pete “Yes the Urza's Legacy One” Venters"""
RonLemen,"SELECT uuid FROM cards WHERE artist = ""Ron Lemen"""
EdwardPFeedMeBeardJr,"SELECT uuid FROM cards WHERE artist = ""Edward P. “Feed Me” Beard, Jr."""
AlanDontFeelLikeYouHavetoPickMePollack,"SELECT uuid FROM cards WHERE artist = ""Alan “Don't Feel Like You Have to Pick Me” Pollack"""
WayneKingofEngland,"SELECT uuid FROM cards WHERE artist = ""Wayne “King of” England"""
GregSixPackStaples,"SELECT uuid FROM cards WHERE artist = ""Greg “Six-Pack” Staples"""
PaoloThatsActuallyMeParente,"SELECT uuid FROM cards WHERE artist = ""Paolo “That's Actually Me” Parente"""
RebeccaDontMesswithMeGuay,"SELECT uuid FROM cards WHERE artist = ""Rebecca “Don't Mess with Me” Guay"""
LarsGrantWildWildWest,"SELECT uuid FROM cards WHERE artist = ""Lars Grant-“Wild Wild”-West"""
MattImYourBoyCavotta,"SELECT uuid FROM cards WHERE artist = ""Matt “I'm Your Boy” Cavotta"""
VincentEvans,"SELECT uuid FROM cards WHERE artist = ""Vincent Evans"""
HectorOrtiz,"SELECT uuid FROM cards WHERE artist = ""Hector Ortiz"""
NathalieHertz,"SELECT uuid FROM cards WHERE artist = ""Nathalie Hertz"""
GaryGianni,"SELECT uuid FROM cards WHERE artist = ""Gary Gianni"""
OmahaPrez,"SELECT uuid FROM cards WHERE artist = ""Omaha Pérez"""
StephenLWalsh,"SELECT uuid FROM cards WHERE artist = ""Stephen L. Walsh"""
KiplingWest,"SELECT uuid FROM cards WHERE artist = ""Kipling West"""
RogrioVilela,"SELECT uuid FROM cards WHERE artist = ""Rogério Vilela"""
DarburyStenderu,"SELECT uuid FROM cards WHERE artist = ""Darbury Stenderu"""
